,word1,word2,SimLex999,SD(SimLex),rank_simlex,w2v_score,rank_w2v
0,vanish,disappear,9.8,0.46,1,0.9107481837272644,4
1,quick,rapid,9.7,1.14,2,0.41410312056541443,555
2,creator,maker,9.62,1.4,3,0.3076682686805725,758
3,stupid,dumb,9.58,1.48,4,0.8044161200523376,20
4,insane,crazy,9.57,0.92,5,0.6161147952079773,187
5,large,big,9.55,0.44,6,0.5758966207504272,424
6,happy,cheerful,9.55,2.18,7,0.4849812388420105,254
7,cow,cattle,9.52,0.79,8,0.4633312523365021,473
8,area,region,9.47,0.58,9,0.6639090180397034,55
9,large,huge,9.47,1.27,10,0.7332226037979126,117
10,simple,easy,9.4,1.51,11,0.5750402808189392,256
11,bizarre,strange,9.37,1.54,12,0.7401601672172546,48
12,student,pupil,9.35,1.11,13,0.6005239486694336,208
13,attorney,lawyer,9.35,1.4,14,0.8082168102264404,18
14,occur,happen,9.32,1.34,15,0.7235676646232605,62
15,hallway,corridor,9.28,0.76,16,0.5934221744537354,223
16,inform,notify,9.25,0.44,17,0.8101211786270142,16
17,teacher,instructor,9.25,1.53,18,0.6823914051055908,98
18,smart,intelligent,9.2,0.67,19,0.6229316592216492,176
19,taxi,cab,9.2,1.23,20,0.8369302153587341,143
20,weird,odd,9.2,1.27,21,0.644493579864502,12
21,drizzle,rain,9.17,0.39,22,0.684546709060669,92
22,scarce,rare,9.17,1.21,23,0.28956568241119385,790
23,happy,glad,9.17,1.59,24,0.639121949672699,151
24,protect,defend,9.13,1.29,25,0.6821181774139404,99
25,plead,beg,9.08,1.26,26,0.3799037039279938,624
26,declare,announce,9.08,1.56,27,0.5971643924713135,511
27,boundary,border,9.08,0.44,28,0.440932959318161,213
28,cop,sheriff,9.05,1.55,29,0.40188300609588623,148
29,adversary,opponent,9.05,1.4,30,0.6404305696487427,580
30,pact,agreement,9.02,1.2,31,0.7871149182319641,352
31,corporation,business,9.02,1.44,32,0.41893094778060913,77
32,business,company,9.02,0.47,33,0.5218483209609985,548
33,strange,odd,9.02,1.04,34,0.7037840485572815,28
34,victory,triumph,8.98,0.94,35,0.8011323809623718,21
35,abundance,plenty,8.97,1.02,36,0.5082080960273743,82
36,essential,necessary,8.97,1.11,37,0.6991448998451233,380
37,weird,strange,8.93,1.3,38,0.829181969165802,13
38,journey,trip,8.88,1.14,39,0.7019433975219727,32
39,physician,doctor,8.88,1.5,40,0.781146764755249,79
40,decide,choose,8.87,1.26,41,0.6713310480117798,3
41,task,job,8.87,1.75,42,0.41233623027801514,560
42,movie,film,8.87,1.72,43,0.9174416661262512,109
43,roam,wander,8.83,0.89,44,0.6950826644897461,86
44,shore,coast,8.83,1.53,45,0.46206972002983093,474
45,acquire,get,8.82,0.94,46,0.40302541851997375,91
46,contemplate,think,8.82,1.59,47,0.3683048486709595,644
47,crucial,important,8.82,1.25,48,0.6855054497718811,579
48,heroine,hero,8.78,1.79,49,0.6095786094665527,119
49,friend,buddy,8.78,0.93,50,0.660933256149292,104
50,danger,threat,8.78,1.56,51,0.6748613715171814,197
51,hard,difficult,8.77,1.19,52,0.7188723683357239,67
52,inspect,examine,8.75,1.39,53,0.6109055876731873,597
53,fast,rapid,8.75,1.68,54,0.3934108316898346,193
54,attention,awareness,8.73,1.64,55,0.29772427678108215,11
55,anger,fury,8.73,1.89,56,0.8387734889984131,130
56,champion,winner,8.73,1.15,57,0.6531826853752136,120
57,locate,find,8.73,1.54,58,0.659771740436554,775
58,create,make,8.72,1.14,59,0.5722280740737915,264
59,inexpensive,cheap,8.72,0.81,60,0.7365633845329285,53
60,assignment,task,8.7,1.37,61,0.4128098785877228,557
61,delightful,wonderful,8.65,1.29,62,0.7255572080612183,480
62,motor,engine,8.65,1.47,63,0.4585399925708771,59
63,buddy,companion,8.65,1.64,64,0.5359069108963013,325
64,alcohol,gin,8.65,1.17,65,0.3689318299293518,642
65,wonderful,terrific,8.63,1.63,66,0.7655467391014099,38
66,acquire,obtain,8.57,1.96,67,0.6192570924758911,858
67,achieve,accomplish,8.57,0.94,68,0.8045607209205627,19
68,bubble,suds,8.57,1.59,69,0.23854389786720276,183
69,crib,cradle,8.55,1.15,70,0.2770662009716034,801
70,style,fashion,8.5,0.87,71,0.5202531218528748,360
71,noticeable,obvious,8.48,1.69,72,0.5203293561935425,76
72,aggression,hostility,8.48,0.44,73,0.589347243309021,220
73,explore,discover,8.48,1.33,74,0.5947813391685486,232
74,create,build,8.48,1.14,75,0.7072793841362,359
75,pretend,imagine,8.47,1.63,76,0.5235452651977539,150
76,apparent,obvious,8.47,1.52,77,0.6397340893745422,348
77,certain,sure,8.42,1.29,78,0.3812297582626343,317
78,sheep,lamb,8.42,1.51,79,0.5410519242286682,463
79,bad,awful,8.42,1.74,80,0.4675052762031555,620
80,horse,mare,8.33,0.73,81,0.5618084669113159,135
81,clarify,explain,8.33,1.74,82,0.7073503136634827,446
82,couple,pair,8.33,1.5,83,0.6941223740577698,87
83,purse,bag,8.33,1.39,84,0.47588399052619934,75
84,beach,seashore,8.33,0.47,85,0.6470919251441956,312
85,make,construct,8.33,0.85,86,0.46731147170066833,282
86,area,zone,8.33,0.89,87,0.5427597165107727,465
87,arrange,organize,8.27,1.1,88,0.6294659376144409,30
88,orthodontist,dentist,8.27,1.47,89,0.5264157652854919,179
89,confident,sure,8.27,1.21,90,0.5069088339805603,382
90,keep,possess,8.27,0.8,91,0.27877095341682434,798
91,expand,grow,8.27,1.28,92,0.6209336519241333,341
92,sea,ocean,8.27,1.3,93,0.7847479581832886,167
93,think,rationalize,8.25,1.13,94,0.3548183739185333,78
94,dreary,dull,8.25,1.85,95,0.703002393245697,675
95,begin,originate,8.2,0.75,96,0.25471052527427673,836
96,aviation,flight,8.18,1.83,97,0.31126129627227783,530
97,proclaim,announce,8.18,1.58,98,0.4297366440296173,749
98,harsh,cruel,8.18,1.66,99,0.5184807181358337,362
99,appoint,elect,8.17,1.51,100,0.6800587773323059,369
100,motel,inn,8.17,0.39,101,0.5154462456703186,60
101,listen,hear,8.17,1.72,102,0.7253986597061157,101
102,belly,abdomen,8.13,1.53,103,0.5418263077735901,315
103,mood,emotion,8.12,1.64,104,0.4456842243671417,503
104,join,add,8.1,0.88,105,0.4720728099346161,785
105,plane,jet,8.1,1.24,106,0.790084719657898,17
106,investigate,examine,8.1,1.31,107,0.8097302317619324,269
107,advise,recommend,8.1,1.6,108,0.7228406071662903,455
108,come,attend,8.1,1.6,109,0.2920239567756653,27
109,racket,noise,8.1,1.49,110,0.28756317496299744,791
110,compare,analyze,8.1,0.84,111,0.5702458024024963,63
111,exotic,rare,8.05,0.93,112,0.30213531851768494,768
112,log,timber,8.05,1.12,113,0.16928401589393616,47
113,wonderful,great,8.05,1.05,114,0.7429883480072021,908
114,hard,tough,8.05,1.18,115,0.6437680125236511,145
115,analyze,evaluate,8.03,0.49,116,0.7988237738609314,22
116,communication,conversation,8.02,0.88,117,0.37920886278152466,277
117,reduce,shrink,8.02,1.82,118,0.6025664806365967,202
118,author,creator,8.02,1.5,119,0.5651030540466309,368
119,formal,proper,8.02,1.31,120,0.5158454179763794,625
120,formula,equation,7.95,0.56,121,0.39012792706489563,606
121,anarchy,chaos,7.93,1.35,122,0.7097529172897339,714
122,cancer,sickness,7.93,1.57,123,0.33209556341171265,274
123,bottle,container,7.93,1.38,124,0.56705242395401,71
124,win,succeed,7.9,1.83,125,0.500082790851593,399
125,money,salary,7.88,1.11,126,0.27268144488334656,812
126,circumstance,situation,7.85,1.31,127,0.40095627307891846,759
127,bird,hawk,7.85,0.91,128,0.3065711259841919,614
128,mob,crowd,7.85,1.2,129,0.4381926655769348,582
129,wine,liquor,7.85,0.78,130,0.566663920879364,276
130,win,accomplish,7.85,0.8,131,0.38609862327575684,515
131,beast,animal,7.83,1.64,132,0.4354759156703949,519
132,jar,bottle,7.83,1.44,133,0.7089364528656006,72
133,evening,dusk,7.78,1.32,134,0.42023730278015137,134
134,elastic,flexible,7.78,1.09,135,0.40400001406669617,545
135,rat,mouse,7.78,0.93,136,0.5542985200881958,578
136,bad,terrible,7.78,1.43,137,0.6492322683334351,294
137,conclude,decide,7.75,1.17,138,0.49705299735069275,407
138,attach,join,7.75,0.94,139,0.32399213314056396,731
139,emotion,passion,7.72,1.3,140,0.4984266459941864,404
140,cottage,cabin,7.72,1.47,141,0.33786800503730774,706
141,celebration,ceremony,7.72,0.61,142,0.591949999332428,228
142,participate,join,7.7,1.69,143,0.6652650237083435,488
143,wagon,carriage,7.7,1.84,144,0.5344871878623962,327
144,belief,opinion,7.7,1.24,145,0.4528253972530365,115
145,sense,intuition,7.68,1.24,146,0.4216896593570709,542
146,population,people,7.68,0.8,147,0.4616583287715912,477
147,satisfy,please,7.67,1.74,148,0.08572490513324738,962
148,fever,illness,7.65,1.54,149,0.40800777077674866,565
149,know,comprehend,7.63,1.39,150,0.5169634222984314,504
150,polite,proper,7.63,1.42,151,0.2478432059288025,212
151,leave,go,7.63,1.49,152,0.597809910774231,366
152,charcoal,coal,7.63,1.43,153,0.4449249505996704,845
153,agony,grief,7.63,1.94,154,0.6492504477500916,133
154,way,manner,7.62,0.44,155,0.46984097361564636,313
155,rabbi,minister,7.62,1.35,156,0.31674057245254517,457
156,choose,elect,7.62,1.14,157,0.5424110889434814,688
157,wire,cord,7.62,1.35,158,0.3478926718235016,292
158,make,earn,7.62,1.92,159,0.5550287365913391,743
159,bad,immoral,7.62,0.98,160,0.32689425349235535,610
160,capability,competence,7.62,0.84,161,0.387635201215744,721
161,roof,ceiling,7.58,0.77,162,0.6377414464950562,154
162,book,literature,7.53,0.45,163,0.4307427704334259,419
163,ballad,song,7.53,0.84,164,0.7370054721832275,529
164,crime,theft,7.53,1.32,165,0.48795223236083984,73
165,supper,meal,7.53,0.47,166,0.7077953815460205,52
166,achieve,succeed,7.5,1.29,167,0.5506545305252075,199
167,beer,alcohol,7.5,1.07,168,0.4879276752471924,299
168,boy,kid,7.5,1.44,169,0.688647449016571,507
169,tobacco,cigarette,7.5,1.49,170,0.608223021030426,90
170,competence,ability,7.5,0.6,171,0.44380462169647217,420
171,wisdom,intelligence,7.47,1.33,172,0.3304685056209564,716
172,steak,meat,7.47,1.34,173,0.5732802152633667,617
173,realize,discover,7.47,0.59,174,0.6295756101608276,166
174,linen,fabric,7.47,1.26,175,0.5786427855491638,34
175,communication,language,7.47,1.09,176,0.38252678513526917,250
176,understand,know,7.47,1.26,177,0.7736186385154724,263
177,crowd,bunch,7.42,1.37,178,0.32215988636016846,190
178,begin,go,7.42,1.24,179,0.5185084939002991,577
179,alcohol,wine,7.42,1.53,180,0.4047190546989441,361
180,car,cab,7.42,1.15,181,0.6134747862815857,735
181,politician,president,7.38,1.05,182,0.40621402859687805,572
182,necessary,important,7.37,1.36,183,0.4580777585506439,481
183,lose,fail,7.33,1.79,184,0.4784936308860779,442
184,cloud,haze,7.32,1.68,185,0.5916661024093628,229
185,mud,dirt,7.32,0.48,186,0.7148671746253967,69
186,river,stream,7.3,0.81,187,0.36448925733566284,536
187,proof,fact,7.3,1.7,188,0.37536221742630005,652
188,behave,obey,7.3,1.24,189,0.42404904961586,869
189,bed,crib,7.3,1.56,190,0.5608701705932617,661
190,gather,meet,7.3,0.59,191,0.4819914400577545,284
191,god,spirit,7.3,1.63,192,0.3593716025352478,631
192,wood,log,7.3,0.87,193,0.22723586857318878,431
193,reflection,image,7.27,1.06,194,0.29287829995155334,783
194,dumb,dense,7.27,0.43,195,0.20290136337280273,497
195,alcohol,whiskey,7.27,1.19,196,0.44821664690971375,740
196,leader,manager,7.27,1.43,197,0.3185502588748932,889
197,administration,management,7.25,1.67,198,0.17560350894927979,205
198,sly,clever,7.25,1.41,199,0.6016431450843811,906
199,metal,aluminum,7.25,1.76,200,0.7196749448776245,65
200,attention,interest,7.22,1.21,201,0.34766530990600586,192
201,despair,misery,7.22,1.06,202,0.6109631657600403,178
202,give,lend,7.22,0.93,203,0.621826708316803,890
203,battle,conquest,7.22,0.89,204,0.20165544748306274,689
204,take,possess,7.2,1.14,205,0.28669121861457825,792
205,sweater,jacket,7.15,1.13,206,0.7983273267745972,733
