,Word 1,Word 2,Human (mean),rank_wordsim,w2v_score,rank_w2v
0,tiger,tiger,10.0,1,1.0000001192092896,1
1,fuck,sex,9.44,2,0.12042548507452011,297
2,journey,voyage,9.29,3,0.7775842547416687,5
3,midday,noon,9.29,4,0.7669398784637451,7
4,dollar,buck,9.22,5,0.2490643411874771,200
5,money,cash,9.15,6,0.7179769277572632,16
6,coast,shore,9.1,7,0.46206972002983093,82
7,money,cash,9.08,8,0.7179769277572632,15
8,money,currency,9.04,9,0.28067249059677124,177
9,football,soccer,9.03,10,0.7809129953384399,4
10,magician,wizard,9.02,11,0.5641326308250427,50
11,type,kind,8.97,12,0.7728435397148132,6
12,gem,jewel,8.96,13,0.5410401821136475,54
13,car,automobile,8.94,14,0.5647698044776917,49
14,street,avenue,8.88,15,0.3941410183906555,109
15,asylum,madhouse,8.87,16,-0.010624494403600693,344
16,boy,lad,8.83,17,0.5925822854042053,40
17,environment,ecology,8.81,18,0.5094165205955505,61
18,furnace,stove,8.79,19,0.6271670460700989,29
19,seafood,lobster,8.7,20,0.7018254399299622,19
20,mile,kilometer,8.66,21,0.7666205763816833,8
21,Maradona,football,8.62,22,0.400740385055542,105
22,OPEC,oil,8.59,23,0.5037314891815186,64
23,king,queen,8.58,24,0.7395411133766174,11
24,murder,manslaughter,8.53,25,0.6921800971031189,21
25,money,bank,8.5,26,0.3234937787055969,147
26,computer,software,8.5,27,0.6456441879272461,25
27,vodka,gin,8.46,28,0.7167972326278687,33
28,Jerusalem,Israel,8.46,29,0.6066316366195679,17
29,planet,star,8.45,30,0.13774460554122925,286
30,calculation,computation,8.44,31,0.5780128240585327,45
31,money,dollar,8.42,32,0.32400140166282654,146
32,law,lawyer,8.38,33,0.2575560510158539,190
33,championship,tournament,8.36,34,0.6861511468887329,23
34,seafood,food,8.34,35,0.596794843673706,37
35,weather,forecast,8.34,36,0.3137030005455017,158
36,nature,environment,8.31,37,0.4471868872642517,90
37,FBI,investigation,8.31,38,0.44277846813201904,133
38,network,hardware,8.31,39,0.34502866864204407,87
39,man,woman,8.3,40,0.8589165806770325,2
40,money,wealth,8.27,41,0.4286772608757019,97
41,psychology,Freud,8.21,42,0.2522045075893402,194
42,news,report,8.16,43,0.22143521904945374,225
43,war,troops,8.13,44,0.38385018706321716,9
44,Harvard,Yale,8.13,45,0.8375340104103088,3
45,vodka,brandy,8.13,46,0.7663853764533997,115
46,physics,proton,8.12,47,0.2657826244831085,148
47,bank,money,8.12,48,0.3234937787055969,183
48,planet,galaxy,8.11,49,0.6249737739562988,30
49,planet,moon,8.08,50,0.6450958847999573,27
50,stock,market,8.08,51,0.4057767987251282,26
51,psychology,psychiatry,8.08,52,0.6389865279197693,104
52,credit,card,8.06,53,0.15389811992645264,96
53,planet,constellation,8.06,54,0.4309137761592865,274
54,hotel,reservation,8.03,55,0.39828169345855713,107
55,planet,sun,8.02,56,0.49229687452316284,73
56,tiger,jaguar,8.0,57,0.6804097294807434,93
57,tiger,feline,8.0,58,0.4714532196521759,80
58,closet,clothes,8.0,59,0.43172770738601685,24
59,planet,astronomer,7.94,60,0.2515629231929779,196
60,soap,opera,7.94,61,0.3180665373802185,152
61,movie,theater,7.92,62,0.4968230128288269,69
62,planet,space,7.92,63,0.3163544237613678,154
63,treatment,recovery,7.91,64,0.23257184028625488,217
64,liquid,water,7.89,65,0.543290913105011,52
65,life,death,7.88,66,0.2680651545524597,182
66,baby,mother,7.85,67,0.5784494280815125,44
67,aluminum,metal,7.83,68,0.7196749448776245,14
68,cell,phone,7.81,69,0.2877957224845886,127
69,lobster,food,7.81,70,0.3564475178718567,172
70,dollar,yen,7.78,71,0.7351023554801941,13
71,wood,forest,7.73,72,0.4617728292942047,92
72,money,deposit,7.73,73,0.43457499146461487,83
73,television,film,7.72,74,0.37675780057907104,119
74,game,team,7.69,75,0.493572473526001,212
75,psychology,mind,7.69,76,0.23291441798210144,216
76,admission,ticket,7.69,77,0.23677588999271393,72
77,Jerusalem,Palestinian,7.65,78,0.541904091835022,53
78,Arafat,terror,7.65,79,0.16146568953990936,269
79,dividend,payment,7.63,80,0.4347107410430908,91
80,profit,loss,7.63,81,0.4989657998085022,68
81,computer,keyboard,7.62,82,0.518615186214447,59
82,boxing,round,7.61,83,0.15131381154060364,276
83,century,year,7.59,84,0.5218756198883057,58
84,rock,jazz,7.59,85,0.604902446269989,34
85,computer,internet,7.58,86,0.4797315299510956,77
86,money,property,7.57,87,0.339031457901001,136
87,announcement,news,7.56,88,0.3842066526412964,114
88,tennis,racket,7.56,89,0.370262086391449,121
89,day,dawn,7.53,90,0.38015469908714294,118
90,canyon,landscape,7.53,91,0.3687202036380768,124
91,food,fruit,7.52,92,0.49452677369117737,71
92,currency,market,7.5,93,0.4724641740322113,209
93,telephone,communication,7.5,94,0.2391059249639511,79
94,psychology,cognition,7.48,95,0.5091456770896912,62
95,marathon,sprint,7.47,96,0.5901886224746704,184
96,seafood,sea,7.47,97,0.26187440752983093,41
97,book,library,7.46,98,0.2862960398197174,173
98,book,paper,7.46,99,0.4263617992401123,98
99,Mexico,Brazil,7.44,100,0.5734788179397583,46
100,psychology,depression,7.42,101,0.31390833854675293,157
101,media,radio,7.42,102,0.43135905265808105,94
102,jaguar,cat,7.42,103,0.6008766293525696,35
103,fighting,defeating,7.41,104,0.2598762512207031,185
104,hundred,percent,7.38,105,-0.034396253526210785,106
105,bird,crane,7.38,106,0.33696359395980835,151
106,movie,star,7.38,107,0.3189930319786072,351
107,dollar,profit,7.38,108,0.3995906412601471,139
108,physics,chemistry,7.35,109,0.5979123115539551,43
109,tiger,cat,7.35,110,0.5797193646430969,36
110,country,citizen,7.31,111,0.16162239015102386,268
111,money,possession,7.29,112,0.15363387763500214,275
112,jaguar,car,7.27,113,0.19627073407173157,241
113,cup,drink,7.25,114,0.4545653462409973,84
114,psychology,health,7.23,115,0.19017939269542694,248
115,museum,theater,7.19,116,0.4904957413673401,74
116,summer,drought,7.16,117,0.2577293813228607,189
117,investor,earning,7.13,118,0.01636061817407608,339
